# Loan dataset based on the Kaggle Home Equity dataset
# Available at: https://www.kaggle.com/ajay1735/hmeq-data
#
# Context
# =======
# The consumer credit department of a bank wants to automate the decisionmaking
# process for approval of home equity lines of credit. To do this, they will
# follow the recommendations of the Equal Credit Opportunity Act to create an
# empirically derived and statistically sound credit scoring model. The model
# will be based on data collected from recent applicants granted credit through
# the current process of loan underwriting. The model will be built from
# predictive modeling tools, but the created model must be sufficiently
# interpretable to provide a reason for any adverse actions (rejections).
#
# Content
# =======
# The Home Equity dataset (HMEQ) contains baseline and loan performance
# information for 5,960 recent home equity loans. The target (BAD) is a binary
# variable indicating whether an applicant eventually defaulted or was
# seriously delinquent. This adverse outcome occurred in 1,189 cases (20%). For
# each applicant, 12 input variables were recorded. 
#
# Attributes
# ==========
# Name    Description
# TARGET  Label: 1 = client defaulted on loan - 0 = loan repaid
# LOAN    Amount of the loan request
# MORTDUE Amount due on existing mortgage
# VALUE   Value of current property
# YOJ     Years at present job
# DEROG   Number of major derogatory reports
# DELINQ  Number of delinquent credit lines
# CLAGE   Age of oldest trade line in months
# NINQ    Number of recent credit lines
# CLNO    Number of credit lines
# DEBTINC Debt-to-income ratio
#
TARGET,LOAN,MORTDUE,VALUE,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
0,16200,62258.0,92595.0,2.0,0.0,0.0,177.85421954,0.0,25.0,22.21960047
0,33200,140690.0,195001.0,21.0,0.0,0.0,177.24755403,0.0,22.0,38.981210278
0,15600,102881.0,117868.0,11.0,0.0,0.0,287.44113086,2.0,19.0,31.759876787
0,70300,197761.0,294169.0,9.0,0.0,0.0,212.23972489,2.0,24.0,28.907073332
0,15400,25822.0,43334.0,1.0,0.0,0.0,211.01664194,0.0,15.0,40.529405126
0,13700,46611.0,65031.0,2.0,0.0,0.0,179.44333226,0.0,13.0,37.705159171
0,3200,74864.0,87266.0,7.0,0.0,0.0,250.63126922,0.0,12.0,42.909997351
0,22000,53212.0,85006.0,20.0,0.0,0.0,218.48411292,1.0,21.0,32.855701395
0,10100,81263.0,98536.0,1.0,0.0,0.0,73.160447708,1.0,23.0,38.331255722
0,15900,101412.0,119751.0,9.0,0.0,0.0,299.95309804,2.0,18.0,30.1768704
0,27700,141930.0,182516.0,0.0,0.0,0.0,235.63057648,2.0,19.0,41.958813501
0,28800,132019.0,168828.0,0.0,0.0,0.0,231.28613401,1.0,24.0,35.490305671
0,12100,74594.0,90555.0,4.0,0.0,0.0,123.77662458,2.0,27.0,41.634847306
0,20600,91180.0,98088.0,2.0,1.0,0.0,125.67684987,0.0,20.0,36.537400530999996
0,69000,197587.0,295551.0,10.0,0.0,0.0,211.77639117,3.0,24.0,30.356856518
0,27700,149169.0,183234.0,8.0,0.0,0.0,314.78583915,0.0,35.0,37.636682724
0,18900,103130.0,120119.0,7.0,0.0,0.0,292.75174269999997,1.0,19.0,30.681688914000002
0,39500,30972.0,70545.0,3.0,0.0,0.0,197.45242891,2.0,17.0,25.360557346
0,5000,66435.0,82819.0,2.0,0.0,0.0,125.13062556,0.0,14.0,42.183538672
0,4200,56544.0,59218.0,19.0,0.0,0.0,211.00259912,1.0,20.0,19.027704425
0,4900,65873.0,90408.0,2.0,0.0,0.0,141.85899895,0.0,23.0,37.76961861
0,7300,55456.0,86766.0,6.0,0.0,0.0,240.05677145,2.0,23.0,31.724698502
0,5700,76948.0,85753.0,7.0,0.0,0.0,128.47645151,0.0,25.0,37.85968784
0,23000,76561.0,111389.0,8.0,0.0,1.0,301.23291075,2.0,28.0,30.346706109
0,29600,233916.0,291490.0,15.0,0.0,1.0,259.73346527,2.0,25.0,25.105086064
0,25100,58042.0,98964.0,16.0,0.0,1.0,125.79586391,0.0,29.0,38.372223501
0,23400,45766.0,66192.0,26.0,0.0,0.0,284.78157228,2.0,32.0,35.936794804
0,29900,135955.0,182161.0,0.0,0.0,0.0,235.37103849999997,2.0,18.0,38.699746592
0,20500,93761.0,94895.0,1.0,1.0,0.0,118.27605096,0.0,20.0,33.70161545
0,18300,26982.0,59552.0,15.0,0.0,0.0,183.61441489,1.0,19.0,36.299617975
0,9700,8852.0,60599.0,7.0,2.0,1.0,359.1044913,1.0,21.0,16.87198276
0,22400,130184.0,164189.0,6.0,0.0,0.0,173.64133881,0.0,39.0,19.640667265999998
0,18500,102472.0,115719.0,0.0,0.0,0.0,120.09026456,0.0,30.0,34.243440963000005
0,19400,52677.0,80424.0,9.0,2.0,0.0,65.847530367,2.0,28.0,34.950823101
0,14900,101179.0,117405.0,2.0,0.0,0.0,133.93050973,1.0,22.0,35.547407219
0,30500,77246.0,121758.0,10.0,0.0,0.0,79.21417248,0.0,34.0,26.521740538000003
0,42100,21137.0,65676.0,21.0,0.0,0.0,194.34632446,1.0,31.0,43.205910577
0,18700,66891.0,94454.0,0.0,0.0,0.0,160.71128201,3.0,20.0,32.784193505
0,6700,29662.0,36195.0,1.0,0.0,0.0,112.13708066,1.0,30.0,38.52863281
0,27500,145774.0,206788.0,4.0,0.0,0.0,191.94101884,0.0,27.0,38.001192233000005
0,13500,91734.0,114906.0,12.0,0.0,0.0,211.87694515,3.0,15.0,38.104208119
0,12400,83018.0,96637.0,2.0,0.0,0.0,95.90213133299999,2.0,32.0,41.244779194
0,10600,44696.0,57686.0,0.0,0.0,0.0,170.34097406,0.0,20.0,37.792555026
0,8800,74562.0,89695.0,24.0,0.0,0.0,338.77674581,1.0,47.0,28.439716511
0,23100,42862.0,63916.0,5.0,0.0,0.0,182.93211997,1.0,26.0,35.583789235
0,17500,73071.0,94267.0,1.0,0.0,0.0,160.45470053,3.0,19.0,32.276809318000005
0,25200,74038.0,114722.0,9.0,0.0,1.0,304.00415592,1.0,28.0,31.360727251
0,16600,28694.0,44165.0,20.0,0.0,1.0,206.71765119,2.0,16.0,30.63902291
0,17900,66823.0,91680.0,0.0,0.0,0.0,89.43649279,0.0,18.0,27.710657289
0,19200,24430.0,128837.0,9.0,0.0,0.0,355.79841245,1.0,10.0,41.147749222
0,8200,66254.0,74994.0,7.0,0.0,0.0,60.384862516999995,1.0,24.0,39.72610514
0,11300,66814.0,82021.0,4.0,2.0,3.0,173.71183851,3.0,29.0,38.556929453
0,17300,48132.0,78889.0,4.0,0.0,0.0,133.16768546,0.0,8.0,28.298227055999998
0,40700,371003.0,467818.0,1.0,0.0,0.0,316.60444181,3.0,14.0,41.723899220999996
0,13300,86360.0,116111.0,8.0,0.0,0.0,232.29213861,0.0,24.0,32.012701356
0,37400,96798.0,145550.0,12.0,0.0,0.0,63.901676947,1.0,35.0,40.594851726
0,13100,50552.0,59889.0,4.0,0.0,0.0,178.61236257,0.0,13.0,38.763313808
0,18500,99474.0,127470.0,22.0,0.0,0.0,287.00225626,3.0,16.0,30.996027629
0,7400,88288.0,119677.0,5.0,0.0,0.0,194.37214004,1.0,27.0,26.646083641
0,13600,66178.0,104378.0,6.0,0.0,0.0,263.96101511,0.0,11.0,36.438466265
0,15900,16744.0,52234.0,3.0,0.0,0.0,288.41594954,0.0,16.0,17.452227433
0,11000,50716.0,61492.0,3.0,0.0,1.0,90.23032976200001,0.0,20.0,38.255862021999995
0,17700,64964.0,88856.0,5.0,0.0,0.0,114.66761831,0.0,19.0,21.933006318
0,9800,47126.0,57365.0,0.0,0.0,1.0,91.14121871200001,0.0,19.0,38.657640295
0,33100,238018.0,44379.0,3.0,0.0,2.0,195.36525989,3.0,49.0,40.415598855
0,21600,45421.0,75632.0,2.0,0.0,1.0,230.24223467,0.0,11.0,33.457380881
0,23100,109498.0,156191.0,15.0,0.0,0.0,186.20199627,0.0,25.0,33.794211606
0,9000,56226.0,67466.0,7.0,0.0,0.0,126.74508707,0.0,16.0,33.987846976
0,23500,90246.0,119320.0,22.0,0.0,0.0,239.25964489,1.0,26.0,41.336696482
0,22000,71664.0,98015.0,9.0,0.0,0.0,191.31360881,1.0,19.0,34.921021057
